2004,3,10,ORD,RDU,1030,2024,4
2004,1,6,ORD,PBI,1205,680,105
2004,11,27,RSW,ORF,266,1436,3
2004,7,29,IAD,CMH,1107,588,104
2004,9,24,MDW,RDU,962,641,10
2004,2,28,JFK,DFW,55,395,8
2004,1,18,BOS,PHX,372,714,5
2004,12,20,BOS,PHL,5548,5233,103
2004,10,21,FLL,RSW,931,1253,4
2004,9,19,ORF,PHL,5047,5233,2
2004,5,26,LGA,DFW,1195,1445,104
2004,5,10,IAH,OMA,1768,945,103
2004,12,27,PVD,IND,176,1148,4
2004,7,15,SFO,LAS,1200,1688,7
2004,1,23,DFW,LAX,2065,1469,3
2004,9,8,OKC,PHX,763,1455,2
2004,9,1,LAX,SJC,519,594,5
2004,6,14,STL,ORD,2932,2498,103
2004,5,23,SNA,ONT,786,583,3
2004,11,20,BNA,MDW,1179,603,103
2004,11,11,DEN,BNA,482,1758,5
2004,12,1,LGA,MSY,133,423,105
2004,12,9,JAX,DFW,2925,2225,3
2004,10,28,JFK,SEA,11,60,106
2004,10,19,AUS,SAN,2434,1954,2
2004,5,27,LGA,ATL,2573,622,4
2004,11,4,BWI,PVD,717,1130,5
2004,6,10,MCO,DTW,834,1140,104
2004,3,20,SDF,IND,952,970,3
2004,3,4,RNO,EWR,1466,430,9
2004,10,18,ORD,MDT,1250,1888,4
2004,8,4,MEM,RIC,2827,2865,4
2004,3,5,DFW,DTW,2324,612,4
2004,10,27,RNO,BIL,3954,3815,4
2004,6,13,MSY,STL,816,1618,105
2004,12,7,CVG,LIT,173,607,103
2004,4,1,LGA,MIA,1799,942,105
2004,11,30,LEX,JAX,657,220,3
2004,8,5,PHX,BOS,610,266,9
2004,4,9,OKC,ORD,5037,5468,4
2004,5,7,PHL,TPA,405,1438,104
2004,2,13,IND,SMF,621,765,103
2004,9,21,DSM,PHL,5849,5230,5
2004,7,8,EWR,PHL,4511,4544,3
2004,10,19,IND,ORD,1585,1170,4
2004,11,13,EWR,MCO,559,231,4
2004,7,3,PVD,FLL,41,1211,5
2004,6,7,ORD,FLL,394,1541,6
2004,10,20,DTW,HSV,5203,5470,2
2004,6,30,OAK,OMA,3925,3942,6
2004,8,16,MCO,OAK,568,627,4
2004,1,4,MSP,PDX,756,996,105
2004,12,25,STL,PHX,449,1449,103
2004,7,30,LAX,TUL,294,1242,7
2004,3,10,DTW,LAX,237,38,3
2004,7,30,IAH,LGA,952,690,6
2004,7,30,MSP,BWI,985,1006,5
2004,12,25,ORD,CMH,1435,982,5
2004,7,10,LAX,ORD,1178,942,7
2004,6,4,RDU,BWI,4630,4749,103
2004,7,12,TPA,PVD,550,204,5
2004,1,5,EWR,LGA,2505,2574,5
2004,1,29,GSO,EWR,1036,1230,3
2004,4,1,DCA,IND,223,1003,3
2004,7,5,SLC,DTW,546,1404,7
2004,12,19,CLT,DAY,2123,2153,103
2004,11,24,PHX,BHM,323,1270,5
2004,10,13,ATL,CLE,899,1290,4
2004,1,21,SMF,SJC,836,280,103
2004,2,23,DAL,AUS,148,1959,2
2004,5,17,LAX,GRR,576,884,8
2004,9,18,SMF,RNO,1118,1356,4
2004,2,20,BUR,SAN,441,540,5
2004,8,17,LAS,ABQ,2062,2451,103
2004,6,10,LGA,ORD,883,1773,5
2004,2,7,CVG,BDL,2155,2151,103
2004,11,7,ATL,SDF,2042,2435,3
2004,7,27,MSP,IND,1298,1130,103
2004,8,17,BWI,MSY,343,996,3
2004,6,3,DAL,HRL,86,271,2
2004,10,15,SNA,ONT,1665,973,3
2004,5,22,LGA,RDU,2021,2196,4
2004,5,17,BOS,SFO,1167,939,4
2004,12,13,DTW,BNA,749,1170,3
2004,1,31,SMF,RNO,967,2333,103
2004,7,22,DEN,SFO,539,592,4
2004,12,23,DCA,PHL,1595,1374,5
2004,12,10,SNA,DCA,1030,1296,9
2004,3,21,PDX,PHL,336,518,9
2004,2,19,DFW,LAX,1291,985,3
2004,1,22,MHT,TPA,2387,2613,4
2004,2,5,MKE,IAD,2300,2244,4
2004,12,22,DAL,CRP,2494,2316,3
2004,10,7,AUS,SAN,809,186,2
2004,12,16,ORD,JAX,1165,1523,5
2004,10,9,PHL,SFO,95,1252,4
2004,3,18,DTW,SAN,417,1644,103
2004,7,12,PVD,CLT,1221,507,3
2004,7,22,MSY,RDU,160,1788,4
2004,11,20,SEA,ABQ,803,1833,5
2004,1,19,IAH,MHT,1126,1422,106
2004,12,30,PHX,GTF,3994,3889,3
2004,3,4,EWR,DEN,573,303,4
2004,5,28,MDW,STL,903,1938,5
2004,4,13,BNA,BOS,994,984,5
2004,2,4,DTW,GSO,1097,712,3
2004,9,4,BOS,MCO,861,1553,104
2004,3,12,BWI,MSY,1261,1261,3
2004,1,24,MSP,EWR,594,648,5
2004,2,20,LGA,SJU,429,1305,7
2004,12,4,IAH,BOS,1410,2224,7
2004,12,29,LAX,BNA,180,1096,7
2004,9,27,SAN,PSP,463,514,5
2004,1,25,BDL,TPA,1213,436,106
2004,4,5,BWI,MCI,2006,300,7
2004,11,13,TPA,SJU,651,1299,5
2004,5,31,LAS,SFO,1032,1008,4
2004,8,31,ATL,CMH,624,608,3
2004,6,9,RNO,LAX,637,534,4
2004,11,28,SLC,ABQ,515,206,103
2004,7,30,MFE,SAT,1216,279,2
2004,10,25,DEN,SNA,539,430,5
2004,10,16,SFO,LAS,329,597,7
2004,1,5,MSP,SEA,660,925,104
2004,1,29,SFO,SNA,46,1677,109
2004,12,31,BOS,BNA,1293,448,3
2004,1,27,SYR,SDF,2131,2816,103
2004,12,2,BOS,MEM,492,291,4
2004,4,17,DAY,CVG,2145,216,103
2004,12,26,MSY,SAN,343,709,3
2004,6,17,LAS,RDU,608,482,8
2004,10,11,PHL,HOU,741,1807,4
2004,7,19,SJU,PHL,1692,1692,6
